date,latitude,longitude,magnitude,depth_km,region,seismic_station_reading,warning_issued
2024-02-19,-56.72619800540513,100.75519650874458,5.755159494285419,690.3613103912425,Africa,2.706101650472053,1
2024-02-20,84.52523299762055,51.1313926155436,5.018817551480526,489.0150380998018,North America,0.4264336507150031,1
2024-02-21,49.52390820500062,-149.70961260178242,7.138939047129933,375.7313600745401,,1.2222244155315023,1
2024-02-22,79.10980948155404,-121.81366292593904,5.95216178971367,217.35980378414308,Europe,2.759961622005704,0
2024-02-23,71.0689230769768,143.47950786974857,2.977606562488578,569.8427187751571,Europe,2.214487901368569,0
2024-02-24,17.62199618599533,38.31446147745237,2.4234124844025797,479.6270896151616,Oceania,,0
2024-02-25,75.93736230416104,-176.68906141801332,5.854515669237894,114.669240602079,Africa,3.6796907703655775,1
2024-02-26,-74.0713496306545,-143.47024456822845,2.1590678632497307,637.7381019611959,,,1
2024-02-27,-54.72308476455387,58.860636878900095,5.51465348764078,575.9535328032952,Asia,0.9169807239675776,1
2024-02-28,-81.85908799610314,-178.17782981536126,7.641381448549746,664.9101393910549,,4.405282665329847,0
2024-02-29,-31.440540462612415,-122.10910148970048,5.452845067255273,508.2779363634636,North America,2.527575769379432,0
2024-03-01,-20.03808785589324,17.544164171971005,4.329019557239132,429.7772219591171,Europe,3.733158464581323,1
2024-03-02,-41.15717428069873,69.08227116936956,5.859729310654119,293.3518823671426,Asia,2.908439161361205,0
2024-03-03,59.17275164734727,54.7060534209362,4.749517342949099,652.9772098644553,Asia,4.988693818026832,0
2024-03-04,-25.784401195153933,-99.26304859419848,5.273700735895609,,Oceania,3.786775288190232,0
2024-03-05,-39.43178825627146,76.38451968511293,7.648788852659151,32.6078504042264,Europe,3.564204260092949,0
2024-03-06,7.685294968484726,-94.59032850115196,4.316615826804646,19.430515173579156,Oceania,3.9150025013486807,1
2024-03-07,-64.63363950454273,-62.856108662663615,,,North America,0.8013271291875012,0
2024-03-08,54.395456535727135,88.73690584248868,,567.5767782165012,Asia,1.10226850653037,0
2024-03-09,-76.58088413764125,53.86784365699728,3.174746808735778,691.1060143911462,Asia,3.5989140028957096,0
2024-03-10,87.63964858809311,125.72042777790404,2.4161678052509927,106.1414068813662,South America,2.5205092869412278,0
2024-03-11,49.004058473398345,56.74064122812362,2.60466800826456,416.29737003114246,North America,3.797712930114572,1
2024-03-12,-54.23117732384897,24.59109720076978,2.109330953909298,,Asia,0.6042885506463106,1
2024-03-13,-89.00601891775156,-146.2770835818867,,678.9701640724077,,2.7287586222745146,0
2024-03-14,56.783057121870144,-47.62231089860393,,589.6411272718603,Europe,1.9562256712288872,0
2024-03-15,37.234321892571074,-84.52714763457884,2.427131890761374,586.9917645930853,Africa,2.339301074480224,0
2024-03-16,41.22129024737771,-92.16372838352991,3.913853781762568,,Asia,3.059393573155312,0
2024-03-17,48.82866240347025,170.28379971088043,7.069251865816727,290.95883213402794,South America,2.561212902566398,0
2024-03-18,-76.67196268786374,-38.48481911996626,2.139631614414955,192.11154327956365,Europe,2.7453171218529,0
2024-03-19,-25.47616886203093,141.1367598637608,,40.406472158998056,North America,2.4831516617784786,1
2024-03-20,-69.14356928547664,47.20990535901464,3.6911286486404,605.4409410022822,Oceania,2.103880367718917,0
2024-03-21,65.35861665760683,106.13206927499346,,569.2178053819242,Europe,3.882221704931401,1
2024-03-22,22.193662828960427,0.949353517869156,,,Asia,0.1597950543584181,1
2024-03-23,-30.438355526523143,27.68539846548927,5.773657080679304,697.6491491146598,North America,3.032369235905613,0
2024-03-24,-78.55949694851574,-2.693630225209006,7.264832081162318,389.24676221623656,Africa,,1
2024-03-25,-34.0231820911808,-109.71252439270398,6.410426262823314,538.5222032111768,,3.609277466191466,1
2024-03-26,-31.46700203518553,80.08276149414189,6.820885582309091,661.3912451878172,Asia,3.0352438874089,1
2024-03-27,41.329112100851546,-78.9219495212919,3.692207435427839,594.9035260835107,South America,4.151314256264484,1
2024-03-28,24.76034484393836,-171.24625208467663,3.064637262678337,173.89632311849516,Oceania,4.799466493363736,1
2024-03-29,69.69829366373878,52.3700265265804,6.50368850984515,315.93035058175536,North America,1.7783688601748628,1
2024-03-30,-5.001313470849127,-116.2401554134624,6.841008435603584,,Europe,1.2140198168469365,0
2024-03-31,-68.4730357311057,158.56509036704915,7.94303085200404,,Europe,2.175624625860366,1
2024-04-01,38.38406170013912,163.41428772093144,4.475706061468559,424.7160694811652,,1.510855120731058,1
2024-04-02,46.94130875104153,149.35118047936146,,160.82132104692045,Africa,3.113256289448007,1
2024-04-03,11.029895562509324,-46.74286790804001,6.658477764451981,470.5187783996939,South America,4.568076803330527,0
2024-04-04,48.77409239182097,-174.43561804960774,4.044821241518108,433.0716400800692,Oceania,0.7816693513010031,1
2024-04-05,-1.1167926544096645,154.19468253158112,7.584543953621388,251.3557399049555,South America,0.5938935547778439,0
2024-04-06,4.091909288758927,-25.85370660576683,,80.37675694754068,,1.354476106082945,1
2024-04-07,-13.042616695461064,167.99573485572105,4.573964164250111,470.4296637193669,,3.657868371705764,0
2024-04-08,-85.42455718606287,166.90319175213102,6.505226406748984,364.69508293175153,South America,3.0055182357682257,0
2024-04-09,-70.57954314120519,127.08340396824964,6.527257244508094,540.8505558232118,Oceania,0.600842054703478,1
2024-04-10,-84.34274657638784,-73.99839885494916,2.618743213015596,364.5942872772834,South America,4.601877559077658,1
2024-04-11,24.553874027480475,-41.3648177033069,7.4153174400774,596.6748687226595,Oceania,3.971414721908025,0
2024-04-12,-33.4159234062612,126.4092017460685,5.031514234687143,386.7828803033654,Oceania,,1
2024-04-13,1.542724409646496,-65.90807814374004,6.9587447966464495,393.095642103235,North America,3.2916993338424065,0
2024-04-14,73.36196530669673,-118.9826111930067,3.9202976061836714,613.7808682581832,Oceania,3.879108675746717,0
2024-04-15,-45.12739875320251,20.448454485006067,7.373139370977203,283.03452348246554,Africa,1.934733311630068,0
2024-04-16,-16.131073853586642,157.01571869788114,,94.67664468699788,Oceania,0.4377155428993721,0
2024-04-17,45.99920493774877,70.5707268029903,2.06502590888179,21.119090743023943,Oceania,0.4788732208950575,0
2024-04-18,-48.81633021150796,25.222021232171382,7.432291858515581,528.8409417158597,,0.6108101336538666,1
2024-04-19,-76.14361623081726,-145.01646224252332,2.5477200607168013,434.5963763960718,Asia,4.218154196704072,0
2024-04-20,-37.84473847552176,41.4026016117011,3.915881825542489,493.15175790135726,Africa,4.562362371452994,0
2024-04-21,-60.9801682942792,176.41938603753476,7.700371802304829,149.8619488947286,Africa,0.7017728310440956,1
2024-04-22,77.34557742166317,-129.56975451485135,7.703642881625337,96.32366143515206,South America,1.255939569515898,0
2024-04-23,55.461668321595056,6.59867485094523,5.440627328739716,11.166721301849469,North America,0.9110505007997198,1
2024-04-24,24.012676171876222,135.85430589406394,5.791023273018796,,Oceania,1.0129723095211915,1
2024-04-25,66.86290623378918,86.67670239151357,4.690673131869919,413.3524631113885,Europe,4.203704866112211,1
2024-04-26,54.660973841840615,70.92566675829647,3.759264630188387,275.1785875247129,North America,1.727517422009201,0
2024-04-27,-56.41738940051355,72.89427023535933,3.971987272219496,306.7949704945866,North America,1.626076893823642,0
2024-04-28,70.660619728196,-50.583185560888126,,633.0069274511302,Africa,1.214238542297852,0
2024-04-29,7.081603544817128,-74.30693606478239,6.51424717662608,244.43057144928693,,,1
2024-04-30,55.33922792953126,111.37001597226492,6.749474262355092,360.2786529227077,Oceania,1.9585979220891896,0
2024-05-01,71.29643398622878,111.64082208450507,6.737708856767323,548.773455906059,Oceania,3.746823294032116,1
2024-05-02,-32.7593745050645,132.14603468883735,2.547236618292142,278.1834048425678,Asia,1.1073410610406238,0
2024-05-03,-70.19065358501818,148.76659892032967,4.966521828215489,435.8386034592836,Oceania,3.960170454701013,1
2024-05-04,-48.9716707424505,4.083263589937616,2.3453525600998657,603.7922324139748,Oceania,3.0582355054776813,0
2024-05-05,-13.12059804727386,0.5458660873918575,5.297173293942413,664.7149159366918,Africa,0.65990977027287,0
2024-05-06,57.24265786604877,107.38626442803906,4.649183008240263,103.80436316939752,Oceania,2.131072462597776,0
2024-05-07,64.93150498614182,53.98701507999544,7.326225096549798,648.6847499878846,Asia,4.331238889003489,1
2024-05-08,-88.74861650438568,72.70807581277322,4.105490075312472,344.9892888625972,Europe,4.622505135812576,1
2024-05-09,1.9345144639618328,106.4853609969964,,181.5128274209719,Africa,2.381930599362185,0
2024-05-10,-14.866019433219776,140.40192305432385,2.857950092317015,321.93589361054467,Europe,2.456101192636461,0
2024-05-11,-50.02059411526856,-58.32174353344711,6.569063790304833,686.0427701245485,Africa,4.600428152202576,1
2024-05-12,-68.42423387993709,-44.79013704962014,5.709308379897566,345.34004770101586,South America,2.97663429826918,1
2024-05-13,-29.22926914734697,-146.16650165728714,2.606736056736741,230.79737559096824,North America,0.2609486841928479,1
2024-05-14,79.72374670425344,28.180850758622626,2.5046408366899846,443.7471971673913,South America,,0
2024-05-15,-31.82347223626406,-167.06078143317285,6.20581478875472,168.86178752595697,Oceania,1.3163095695100444,1
2024-05-16,3.382311913805893,-12.384713472314331,2.436578038185161,54.02846634795608,Europe,2.9303965750485816,0
2024-05-17,36.54341260113202,15.352068494727575,6.931160355742137,91.0869256155438,Oceania,0.9110152553970716,1
2024-05-18,-24.54667157172709,-76.84514923381761,6.237453362938977,90.50404143148292,North America,0.2660078852083154,0
2024-05-19,84.92077488977293,32.699973804843864,2.4880926838513986,107.17998276509375,Africa,,1
2024-05-20,83.24051308958002,-169.0199100219422,,98.04019368193768,North America,3.92442896697583,1
2024-05-21,-44.67918675143445,-166.5546520502828,7.919837471007053,448.971446617447,Asia,1.460177145884149,1
2024-05-22,-0.495268939370618,116.13620183747696,4.245624774536722,128.13417899500223,North America,1.1784763489973755,1
2024-05-23,-35.84190423298146,-50.33136909194536,4.223852882401346,242.6214310433804,Asia,1.142135843272009,1
2024-05-24,-38.72871101205583,-134.25821544532147,6.876797403545016,627.8550985243023,North America,2.624351043793382,0
2024-05-25,-83.3603494761841,8.007573619729584,7.683491464303152,332.2991865437478,Asia,4.880152446845505,1
2024-05-26,19.721580116381432,97.19767911549992,7.916006382937225,467.622859226198,,2.3490460412833643,1
2024-05-27,0.4822241811950647,-102.30443010113646,6.52026911155365,121.45158996993923,Oceania,2.830796307561235,1
2024-05-28,-80.73382477500192,44.240571294840095,4.257557513185494,135.41002414726088,Oceania,4.317096887664596,0
2024-05-29,-39.84363643740994,-149.27491260224352,2.5010043001920126,29.567162770268727,South America,2.721841622774928,1
